NC_1	NC_2	NC_3	NC_4	NC_5	NC_6	Tomato_1	Tomato_2	Tomato_3	Tomato_4	Tomato_5	Tomato_6
18	15	23	28	26	9	0	0	0	0	0	0
0	0	0	0	0	0	18	20	18	16	24	23
0	0	0	0	0	0	0	29	0	42	23	25
19	29	28	18	14	10	0	0	0	0	0	0
18	10	10	17	47	7	0	0	2	7	0	0
17	9	8	9	17	4	9	9	9	12	4	11
0	0	0	0	12	0	13	17	22	12	12	30
16	12	18	32	19	8	0	0	8	3	0	0
16	0	15	11	23	19	0	11	14	0	0	7
15	4	9	15	15	5	7	10	11	2	14	8
5	0	39	19	11	24	3	0	7	7	0	0
0	38	0	44	0	14	0	19	0	0	0	0
27	13	24	27	15	8	0	0	0	0	0	0
25	0	23	52	14	0	0	0	0	0	0	0
21	0	0	22	34	0	0	22	15	0	0	0
15	15	15	20	20	15	0	0	7	7	0	0
0	0	0	0	0	0	0	24	23	22	18	27
0	36	0	0	50	9	7	0	11	0	0	0
50	0	0	0	22	0	0	19	0	11	0	10
0	0	19	0	15	0	0	0	0	0	41	37
23	27	22	0	24	0	8	0	7	0	0	0
37	0	31	22	0	0	0	0	0	0	20	0
13	11	19	9	0	7	14	8	11	18	0	0
36	0	0	40	33	0	0	0	0	0	0	0
25	3	22	13	29	8	0	0	6	0	0	3
14	8	14	19	12	9	3	8	0	9	13	0
14	37	0	8	11	10	0	5	12	5	3	4
22	0	22	27	29	0	0	8	0	0	0	0
7	10	14	12	6	7	5	18	10	10	0	9
20	14	13	13	13	8	0	0	7	13	0	6
10	12	6	14	5	18	0	11	11	8	0	12
10	19	0	0	7	0	0	15	15	0	26	15
0	0	11	0	0	0	8	23	12	15	15	23
24	14	27	28	13	0	0	0	0	0	0	0
0	10	0	0	0	78	5	0	7	6	0	0
21	7	26	16	6	4	0	7	4	8	0	6
13	18	15	0	0	22	0	18	19	0	0	0
0	10	16	14	14	0	9	6	6	11	9	10
0	7	0	0	0	0	9	13	16	19	26	15
0	0	0	0	0	0	13	23	15	0	21	33
32	28	26	0	18	0	0	0	0	0	0	0
20	16	15	12	21	11	0	0	0	9	0	0
12	7	0	7	20	0	9	12	7	14	8	8
0	0	9	8	0	0	15	0	50	0	0	22
0	15	15	10	12	0	9	12	0	12	10	8
0	0	0	0	0	0	16	40	26	0	0	21
24	16	18	16	14	0	0	7	0	0	7	0
14	33	0	8	34	0	0	0	5	8	0	0
7	11	0	0	0	0	16	15	15	0	14	24
6	30	11	21	26	7	0	0	0	0	0	0
0	0	9	0	8	0	18	13	16	13	8	16
