Genero	Tomato_6	Tomato_5	Tomato_4	Tomato_3	Tomato_2	Tomato_1	NC_6	NC_5	NC_4	NC_3	NC_2	NC_1
index	Tomato_6	Tomato_5	Tomato_4	Tomato_3	Tomato_2	Tomato_1	NC_6	NC_5	NC_4	NC_3	NC_2	NC_1
d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Pseudobdellovibrionaceae;g__Incertae_Sedis	 2	 2	19	 5	 6	 3	20	64	27	41	66	44
d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Candidatus_Kaiserbacteria;f__Incertae_Sedis;g__Incertae_Sedis	  0	  0	 79	 17	  0	  7	146	 41	181	125	333	207
d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadia;o__Gemmatimonadales;f__Gemmatimonadaceae;__	18	38	19	11	22	13	11	16	 6	10	16	25
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Plot4-2H12	27	18	12	14	12	 0	13	19	25	30	16	21
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Corticibacterium	38	37	26	24	45	26	 0	13	33	26	27	22
d__Bacteria;p__Thermodesulfobacteriota;__;__;__;__	 5	 7	17	13	 5	 8	21	49	12	32	21	 7
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Frankiales;__;__	 0	26	14	21	18	 0	19	20	21	24	17	16
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;__	31	21	20	23	37	13	 0	42	38	14	 0	12
d__Bacteria;p__Rhodothermota;c__Rhodothermia;o__Rhodothermales;f__Rhodothermaceae;g__Salisaeta	16	15	 5	 6	24	 9	 7	35	23	14	29	27
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;__	 11	 21	 32	 44	 33	 27	 64	136	123	130	104	164
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Pedosphaerales;f__Pedosphaeraceae;g__Incertae_Sedis	 0	 7	20	 8	 0	 0	19	27	15	17	37	27
d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Paraconexibacter	23	11	20	12	14	11	28	37	52	53	65	48
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Pelagerythrobacter	24	21	36	29	20	 0	 9	51	64	84	50	18
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Thermostilla	 53	 36	 62	 13	 38	 21	 44	127	135	100	185	115
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae;g__Nitrobacter	50	32	49	35	55	10	 0	21	49	52	29	56
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Microscillaceae;__	  7	  0	 52	 20	 25	 15	 31	 82	110	 45	 78	 36
d__Bacteria;p__Incertae_Sedis;c__Incertae_Sedis;o__SJA-28;f__Incertae_Sedis;g__Incertae_Sedis	 9	 7	16	 9	14	 9	 5	31	22	32	12	24
d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Candidatus_Adlerbacteria;f__Incertae_Sedis;g__Incertae_Sedis	 0	 0	11	 0	 0	 0	44	 6	18	27	54	32
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Zavarziniales;f__Incertae_Sedis;g__Incertae_Sedis	 7	 6	10	10	 9	 0	10	18	18	15	26	34
d__Bacteria;p__Chloroflexota;c__Anaerolineae;__;__;__	 0	 0	 0	 5	 0	 0	16	13	31	39	17	40
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Mycobacteriales;__;__	12	13	 8	 9	19	 0	 8	 0	26	14	34	26
d__Bacteria;p__Gemmatimonadota;c__S0134_terrestrial_group;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	 31	 19	 56	 37	 21	 10	 66	 87	 69	 90	 76	115
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Rubritaleaceae;g__Roseibacillus	29	13	39	 4	41	11	 0	15	22	22	 0	 6
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Rickettsiellales;f__Rickettsiellaceae;g__Incertae_Sedis	 0	 0	 4	 0	 0	 0	10	17	41	76	 5	24
d__Bacteria;p__Verrucomicrobiota;c__Omnitrophia;o__Omnitrophales;f__Omnitrophaceae;g__Candidatus_Omnitrophus	 0	 2	 6	 0	 0	 3	27	24	16	31	28	17
d__Bacteria;p__Gemmatimonadota;c__BD2-11_terrestrial_group;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	 2	 4	21	 5	11	 0	40	36	40	40	57	54
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Stappiaceae;g__Polymorphum	10	10	18	25	19	 9	17	31	66	37	45	66
d__Bacteria;p__Patescibacteria;c__Parcubacteria;__;__;__	  0	  0	 10	  0	  0	  0	 42	  3	 25	  7	133	 42
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Pirellula	22	22	45	25	19	15	12	67	63	65	44	56
d__Bacteria;p__Chloroflexota;c__Incertae_Sedis;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	 0	12	 0	 0	 0	 0	 6	21	80	59	32	50
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methyloterricola	 0	 0	 9	 0	 0	 5	65	19	11	20	 7	 2
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Beggiatoales;f__Beggiatoaceae;g__Candidatus_Allobeggiatoa	 0	 4	14	 3	 6	 0	10	14	17	26	24	21
d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__27F-1492R;g__Incertae_Sedis	 0	 0	 3	 0	 0	 0	24	 8	17	18	54	10
d__Bacteria;p__Pseudomonadota;__;__;__;__	15	 7	15	21	14	 7	15	37	28	28	 5	51
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;__;__	 8	 5	11	 0	 0	 0	18	33	33	18	43	31
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Incertae_Sedis;f__Incertae_Sedis;g__AK92	 0	 0	10	 0	 0	 0	25	59	 6	15	62	13
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Beijerinckiaceae;g__Neo-b11	 0	 0	 5	 0	14	 0	39	12	66	47	35	32
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Polymorphospora	25	 0	27	19	19	 0	29	 0	 0	 0	50	44
d__Bacteria;p__Myxococcota;c__Polyangiia;o__Polyangiales;f__Polyangiaceae;g__Labilithrix	 0	18	27	 9	12	 0	12	 9	39	32	22	19
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Novipirellula	22	13	22	12	14	 9	 0	 7	 8	 0	 8	 5
